"time","guessed_miner","transaction_count"
"2015-11-07 03:43:13","21 Inc.",1910
"2015-11-06 23:42:09","21 Inc.",842
"2015-11-06 22:18:24","21 Inc.",2930
"2015-11-06 21:34:42","21 Inc.",1419
"2015-11-06 10:41:36","21 Inc.",3074
"2015-11-06 09:13:36","21 Inc.",944
"2015-11-05 19:58:40","21 Inc.",1455
"2015-11-05 14:09:37","21 Inc.",1985
"2015-11-04 14:57:06","21 Inc.",2292
"2015-11-04 12:02:56","21 Inc.",2230
"2015-11-04 10:51:45","21 Inc.",1279
"2015-11-04 00:33:52","21 Inc.",1543
"2015-11-03 19:53:37","21 Inc.",1832
"2015-11-03 18:57:38","21 Inc.",2364
"2015-11-03 01:37:38","21 Inc.",745
"2015-11-03 00:56:18","21 Inc.",367
"2015-11-03 00:42:41","21 Inc.",310
"2015-11-03 00:45:52","21 Inc.",1203
"2015-11-03 00:10:08","21 Inc.",2022
"2015-11-02 23:16:32","21 Inc.",1365
"2015-11-02 15:23:28","21 Inc.",1306
"2015-11-02 01:11:12","21 Inc.",412
"2015-11-02 00:32:32","21 Inc.",2236
"2015-11-01 23:01:37","21 Inc.",1670
"2015-11-01 11:28:16","21 Inc.",1528
"2015-11-01 07:49:04","21 Inc.",462
"2015-11-01 06:16:34","21 Inc.",1861
"2015-11-01 01:45:52","21 Inc.",1911
"2015-11-01 00:23:14","21 Inc.",2138
"2015-10-31 23:20:32","21 Inc.",485
"2015-10-31 22:56:48","21 Inc.",2040
"2015-10-31 21:50:24","21 Inc.",1358
"2015-10-31 19:48:01","21 Inc.",2851
"2015-10-31 16:29:38","21 Inc.",862
"2015-10-31 16:05:06","21 Inc.",1992
"2015-10-31 08:13:20","21 Inc.",823
"2015-10-30 23:39:30","21 Inc.",1007
"2015-10-30 17:48:02","21 Inc.",1109
"2015-10-30 14:07:29","21 Inc.",223
"2015-10-30 12:13:05","21 Inc.",545
"2015-10-30 06:01:04","21 Inc.",904
"2015-10-29 21:20:00","21 Inc.",1886
"2015-10-29 11:23:30","21 Inc.",670
"2015-10-29 06:47:28","21 Inc.",1755
"2015-10-29 05:34:58","21 Inc.",2735
"2015-10-29 01:48:16","21 Inc.",622
"2015-10-28 22:57:36","21 Inc.",1713
"2015-10-28 22:11:14","21 Inc.",956
"2015-10-28 16:31:14","21 Inc.",1554
"2015-10-28 16:25:21","21 Inc.",1764
"2015-10-28 11:50:24","21 Inc.",1900
"2015-10-28 07:01:21","21 Inc.",577
"2015-10-28 03:28:48","21 Inc.",201
"2015-10-28 02:48:16","21 Inc.",960
"2015-10-27 20:32:16","21 Inc.",1805
"2015-10-27 18:40:01","21 Inc.",359
"2015-10-27 10:21:05","21 Inc.",232
"2015-10-27 10:18:10","21 Inc.",1185
"2015-10-27 05:45:38","21 Inc.",147
"2015-10-27 05:40:34","21 Inc.",892
"2015-10-27 03:11:13","21 Inc.",470
"2015-10-26 23:52:48","21 Inc.",1916
"2015-10-26 22:08:19","21 Inc.",453
"2015-10-26 08:41:36","21 Inc.",1236
